state,session,bill,legiscan_link,legiscan_title,summary
Nebraska,2017-2018,LB1079,https://legiscan.com/NE/bill/LB1079/2018,NE LB1079 | 2017-2018 | 105th Legislature | LegiScan,Change report provisions relating to the Children's Residential Facilities and Placing Licensure Act
Nebraska,2017-2018,LB108,https://legiscan.com/NE/bill/LB108/2017,NE LB108 | 2017-2018 | 105th Legislature | LegiScan,Require guidelines to ensure safety of minor or dependent whose parent or guardian is arrested
Nebraska,2017-2018,LB1081,https://legiscan.com/NE/bill/LB1081/2018,NE LB1081 | 2017-2018 | 105th Legislature | LegiScan,"Change education provisions regarding reporting, penalties, residency, boundaries, priority schools, subpoena authority, poverty, and limited English proficiency and adopt the Nebraska Reading Improvement Act"
Nebraska,2017-2018,LB1082,https://legiscan.com/NE/bill/LB1082/2018,NE LB1082 | 2017-2018 | 105th Legislature | LegiScan,"Require jails, law enforcement agencies, and the Nebraska State Patrol to provide public notice before entering into agreements to enforce federal immigration law and to allow audits of noncomplying entities"
Nebraska,2017-2018,LB1083,https://legiscan.com/NE/bill/LB1083/2018,NE LB1083 | 2017-2018 | 105th Legislature | LegiScan,Provide for discovery of telephone numbers and email addresses of witnesses in criminal cases
Nebraska,2017-2018,LB1084,https://legiscan.com/NE/bill/LB1084/2018,NE LB1084 | 2017-2018 | 105th Legislature | LegiScan,"Adopt the Property Tax Request Limitation Act, provide sunset dates for certain tax exemptions and incentives, and change other revenue and taxation provisions"
Nebraska,2017-2018,LB1085,https://legiscan.com/NE/bill/LB1085/2018,NE LB1085 | 2017-2018 | 105th Legislature | LegiScan,Change the Community Development Law and provisions relating to tax-increment financing
Nebraska,2017-2018,LB1086,https://legiscan.com/NE/bill/LB1086/2018,NE LB1086 | 2017-2018 | 105th Legislature | LegiScan,Provide for intervention in certain proceedings involving juveniles as prescribed
Nebraska,2017-2018,LB1087,https://legiscan.com/NE/bill/LB1087/2018,NE LB1087 | 2017-2018 | 105th Legislature | LegiScan,"Change tax provisions for cigars, cheroots, or stogies"
Nebraska,2017-2018,LB1088,https://legiscan.com/NE/bill/LB1088/2018,NE LB1088 | 2017-2018 | 105th Legislature | LegiScan,"Adopt the Nebraska Education Formula and the Remote Seller Sales Tax Collection Act, terminate the Tax Equity and Educational Opportunities Support Act and the Property Tax Credit Act, and eliminate certain tax exemptions"
Nebraska,2017-2018,LB1089,https://legiscan.com/NE/bill/LB1089/2018,NE LB1089 | 2017-2018 | 105th Legislature | LegiScan,"Change provisions relating to confidential tax information, refundable income tax credits, and homestead exemptions"
Nebraska,2017-2018,LB109,https://legiscan.com/NE/bill/LB109/2018,NE LB109 | 2017-2018 | 105th Legislature | LegiScan,Provide for a temporary teaching certificate or permit for military spouses
Nebraska,2017-2018,LB109,https://legiscan.com/NE/bill/LB109/2017,NE LB109 | 2017-2018 | 105th Legislature | LegiScan,Provide for a temporary teaching certificate or permit for military spouses
Nebraska,2017-2018,LB1090,https://legiscan.com/NE/bill/LB1090/2018,NE LB1090 | 2017-2018 | 105th Legislature | LegiScan,"Change provisions relating to income tax brackets, personal exemptions, standard deductions, and itemized deductions"
Nebraska,2017-2018,LB1092,https://legiscan.com/NE/bill/LB1092/2018,NE LB1092 | 2017-2018 | 105th Legislature | LegiScan,Change provisions relating to autocycles
Nebraska,2017-2018,LB1093,https://legiscan.com/NE/bill/LB1093/2018,NE LB1093 | 2017-2018 | 105th Legislature | LegiScan,Create the office of Inspector General of Nebraska Public Health
