Bill,assembly_number,category
SF 2150,88,
HF 2189,88,
HF 217,88,
SSB 3033,88,
SF 2173,88,
HSB 586,88,
HF 586,88,
HSB 561,88,
HF 2280,88,
HF 2184,88,
HF 258,88,
SF 123,88,
HF 2233,88,
HF 2254,88,
HSB 643,88,
SSB 3124,88,
SSB 3077,88,
SSB 3084,88,
SSB 3090,88,
SSB 3125,88,
HF 2163,88,
HF 2004,88,
SF 2180,88,
SF 2188,88,
HF 2102,88,
HF 2132,88,
HSB 517,88,
SSB 3008,88,
SSB 3091,88,
HF 363,88,
HF 657,88,
SF 2145,88,
SF 64,88,
HSB 575,88,
HF 2107,88,
HF 2129,88,
HF 31,88,
HF 65,88,
HF 66,88,
HF 67,88,
HF 69,88,
HF 636,88,
SF 115,88,
SSB 1235,88,
SSB 3080,88,
HF 2214,88,
HF 2085,88,
HSB 633,88,
SF 2152,88,
HF 2289,88,
HSB 593,88,
HF 2247,88,
SSB 3130,88,
SF 2095,88,
SSB 3012,88,
SSB 3057,88,
SF 2110,88,
HSB 648,88,
HSB 583,88,
SF 503,88,
HF 2242,88,
SSB 3113,88,
SSB 3114,88,
SF 2162,88,
HSB 639,88,
HSB 637,88,
SSB 3041,88,
SF 2155,88,
HF 2147,88,
HF 2169,88,
SF 199,88,
SF 2066,88,
SF 2134,88,
SSB 3054,88,
HF 2252,88,
HF 2137,88,
SF 2100,88,
HSB 582,88,
HF 2136,88,
SSB 3102,88,
SF 2178,88,
SSB 3073,88,
HF 2122,88,
HSB 600,88,
SSB 3023,88,
HF 2230,88,
HF 2231,88,
HF 2237,88,
HF 2035,88,
HSB 543,88,
SF 2121,88,
HF 2082,88,
HSB 574,88,
HF 703,88,
HF 2149,88,
HSB 570,88,
SF 2057,88,
SF 2058,88,
SSB 3046,88,
HSB 625,88,
HF 2234,88,
SF 2112,88,
HF 2206,88,
SSB 3100,88,
HF 2068,88,
SSB 3093,88,
HF 2048,88,
HF 2008,88,
HF 2140,88,
HF 474,88,
HF 2227,88,
HF 2084,88,
HF 2225,88,
HF 2052,88,
HSB 580,88,
HSB 618,88,
SSB 3085,88,
HSB 509,88,
SSB 3069,88,
HSB 623,88,
HF 262,88,
HF 2151,88,
HF 2094,88,
HF 2156,88,
SF 2054,88,
SF 489,88,
SF 2139,88,
HF 2127,88,
HF 2141,88,
SF 2084,88,
SF 2136,88,
HSB 599,88,
HSB 535,88,
HSB 533,88,
SSB 3095,88,
